Tag + Time Used [60 seconds];CHR22 Anja (7/Female);CHR22 Fiona (28/Female);
go to primary school for 6h every day, with vacation;1228;0;
go to the toilet;10;13;
play with toys (1 h);67;0;
read a book (1 h);59;0;
watch a movie for 2 h;223;0;
play with wooden toys (2 h);105;0;
make soup;11;33;
sleep bed 03 (10 h) Child;749;0;
play with toys (1_5 h);100;0;
read a book on the couch all the time;110;0;
watch TV (1 h);59;0;
play with wooden toys (1 h);56;0;
read a book on the couch only 9:00 to 22:00;103;136;
work at the office (09 h);0;1628;
take a shower with hair washing (women) (20 min hair drying);0;56;
do laundry at 30°C (by variable);0;19;
wash 5 dishes by hand;0;26;
use the laptop (1_5 h);0;88;
sleep bed 01 (08 h);0;498;
get ready in the morning (women);0;22;
hang up laundry outside;0;32;
go shopping for food in the supermarket (1_5 h);0;97;
take a shower without hair washing (women);0;66;
wash 3 dishes by hand;0;34;
use the laptop for Internet, Movie, Music, News (2 h);0;132;
