Tag + Time Used [60 seconds];CHS12 Regina (29/Female);CHS12 Falk (31/Male);
work as shift worker (woman);1367;0;
go to the toilet;25;446;
take a shower with hair washing (women) (5 min hair drying);56;0;
watch a movie for 1 h 30 min;94;0;
relax in the garden;92;0;
read a newspaper for 30min;62;33;
use the laptop for Internet, Movie, Music, News (2 h);118;0;
sleep bed 06 (08 h) (shift worker woman);737;0;
play board games (1 h);71;0;
cook together at all times;134;135;
take a shower without hair washing (women);67;0;
do laundry at 30°C (by variable);18;0;
bake a cake;39;0;
eat breakfast (1 h);0;154;
get ready in the morning (men);0;20;
go for walk (1 h);0;234;
take a shower (men);0;43;
work as shift worker (man);0;1080;
sleep bed 07 (08 h) (shift worker man);0;582;
exercise for 30 min on the treadmill;0;35;
water the garden outside;0;27;
go shopping for food in the supermarket (1_5 h);0;91;
